WD,JD
26.6331,124.6329167
26.64937373,124.6272772
26.66564746,124.6210433
26.68192119,124.6142393
26.69819492,124.6068887
26.71446864,124.5990147
26.73074237,124.5906401
26.7470161,124.5817868
26.76328983,124.5724766
26.77956356,124.5627305
26.79583729,124.5525692
26.81211102,124.5420129
26.82838475,124.5310812
26.84465847,124.5197933
26.8609322,124.5081681
26.87720593,124.4962239
26.89347966,124.4839784
26.90975339,124.4714492
26.92602712,124.4586531
26.94230085,124.4456068
26.95857458,124.4323265
26.97484831,124.4188278
26.99112203,124.405126
27.00739576,124.3912361
27.02366949,124.3771725
27.03994322,124.3629495
27.05621695,124.3485807
27.07249068,124.3340796
27.08876441,124.3194591
27.10503814,124.3047319
27.12131186,124.2899102
27.13758559,124.2750059
27.15385932,124.2600306
27.17013305,124.2449956
27.18640678,124.2299117
27.20268051,124.2147895
27.21895424,124.1996392
27.23522797,124.1844708
27.25150169,124.1692937
27.26777542,124.1541174
27.28404915,124.1389508
27.30032288,124.1238025
27.31659661,124.108681
27.33287034,124.0935944
27.34914407,124.0785505
27.3654178,124.0635568
27.38169153,124.0486206
27.39796525,124.0337488
27.41423898,124.0189483
27.43051271,124.0042255
27.44678644,123.9895866
27.46306017,123.9750376
27.4793339,123.9605843
27.49560763,123.946232
27.51188136,123.9319861
27.52815508,123.9178516
27.54442881,123.9038332
27.56070254,123.8899356
27.57697627,123.8761632
27.59325,123.86252
27.60952373,123.8490101
27.62579746,123.835637
27.64207119,123.8224045
27.65834492,123.8093158
27.67461864,123.796374
27.69089237,123.7835822
27.7071661,123.7709432
27.72343983,123.7584594
27.73971356,123.7461334
27.75598729,123.7339674
27.77226102,123.7219634
27.78853475,123.7101235
27.80480847,123.6984494
27.8210822,123.6869427
27.83735593,123.6756048
27.85362966,123.6644371
27.86990339,123.6534407
27.88617712,123.6426166
27.90245085,123.6319658
27.91872458,123.621489
27.93499831,123.6111868
27.95127203,123.6010597
27.96754576,123.5911081
27.98381949,123.5813323
28.00009322,123.5717323
28.01636695,123.5623082
28.03264068,123.5530598
28.04891441,123.5439871
28.06518814,123.5350897
28.08146186,123.5263672
28.09773559,123.5178191
28.11400932,123.5094447
28.13028305,123.5012435
28.14655678,123.4932146
28.16283051,123.4853572
28.17910424,123.4776703
28.19537797,123.4701528
28.21165169,123.4628038
28.22792542,123.4556219
28.24419915,123.4486059
28.26047288,123.4417546
28.27674661,123.4350665
28.29302034,123.4285401
28.30929407,123.422174
28.3255678,123.4159665
28.34184153,123.409916
28.35811525,123.4040209
28.37438898,123.3982793
28.39066271,123.3926895
28.40693644,123.3872496
28.42321017,123.3819577
28.4394839,123.376812
28.45575763,123.3718104
28.47203136,123.3669508
28.48830508,123.3622314
28.50457881,123.3576499
28.52085254,123.3532042
28.53712627,123.3488922
28.5534,123.3447118
28.56967373,123.3406606
28.58594746,123.3367365
28.60222119,123.3329372
28.61849492,123.3292605
28.63476864,123.3257039
28.65104237,123.3222653
28.6673161,123.3189422
28.68358983,123.3157324
28.69986356,123.3126335
28.71613729,123.309643
28.73241102,123.3067586
28.74868475,123.303978
28.76495847,123.3012987
28.7812322,123.2987183
28.79750593,123.2962344
28.81377966,123.2938446
28.83005339,123.2915465
28.84632712,123.2893377
28.86260085,123.2872158
28.87887458,123.2851783
28.89514831,123.2832229
28.91142203,123.2813472
28.92769576,123.2795488
28.94396949,123.2778252
28.96024322,123.2761743
28.97651695,123.2745935
28.99279068,123.2730805
29.00906441,123.271633
29.02533814,123.2702486
29.04161186,123.2689252
29.05788559,123.2676603
29.07415932,123.2664516
29.09043305,123.265297
29.10670678,123.2641942
29.12298051,123.263141
29.13925424,123.2621351
29.15552797,123.2611744
29.17180169,123.2602566
29.18807542,123.2593798
29.20434915,123.2585417
29.22062288,123.2577403
29.23689661,123.2569735
29.25317034,123.2562393
29.26944407,123.2555355
29.2857178,123.2548604
29.30199153,123.2542118
29.31826525,123.2535878
29.33453898,123.2529866
29.35081271,123.2524062
29.36708644,123.2518448
29.38336017,123.2513006
29.3996339,123.2507718
29.41590763,123.2502566
29.43218136,123.2497533
29.44845508,123.2492601
29.46472881,123.2487755
29.48100254,123.2482977
29.49727627,123.2478251
29.51355,123.2473563
29.52982373,123.2468895
29.54609746,123.2464234
29.56237119,123.2459564
29.57864492,123.2454872
29.59491864,123.2450141
29.61119237,123.244536
29.6274661,123.2440514
29.64373983,123.2435591
29.66001356,123.2430576
29.67628729,123.2425459
29.69256102,123.2420226
29.70883475,123.2414867
29.72510847,123.2409369
29.7413822,123.2403721
29.75765593,123.2397912
29.77392966,123.2391933
29.79020339,123.2385772
29.80647712,123.237942
29.82275085,123.2372867
29.83902458,123.2366105
29.85529831,123.2359124
29.87157203,123.2351916
29.88784576,123.2344472
29.90411949,123.2336785
29.92039322,123.2328847
29.93666695,123.2320652
29.95294068,123.2312191
29.96921441,123.2303458
29.98548814,123.2294447
30.00176186,123.2285152
30.01803559,123.2275568
30.03430932,123.2265688
30.05058305,123.2255508
30.06685678,123.2245022
30.08313051,123.2234227
30.09940424,123.2223118
30.11567797,123.2211691
30.13195169,123.2199942
30.14822542,123.2187868
30.16449915,123.2175466
30.18077288,123.2162732
30.19704661,123.2149665
30.21332034,123.2136261
30.22959407,123.2122519
30.2458678,123.2108437
30.26214153,123.2094013
30.27841525,123.2079245
30.29468898,123.2064133
30.31096271,123.2048675
30.32723644,123.2032871
30.34351017,123.201672
30.3597839,123.2000221
30.37605763,123.1983376
30.39233136,123.1966183
30.40860508,123.1948644
30.42487881,123.1930757
30.44115254,123.1912525
30.45742627,123.1893948
30.4737,123.1875027
30.48997373,123.1855763
30.50624746,123.1836157
30.52252119,123.1816211
30.53879492,123.1795927
30.55506864,123.1775305
30.57134237,123.1754349
30.5876161,123.1733059
30.60388983,123.1711439
30.62016356,123.168949
30.63643729,123.1667214
30.65271102,123.1644614
30.66898475,123.1621693
30.68525847,123.1598453
30.7015322,123.1574897
30.71780593,123.1551028
30.73407966,123.1526848
30.75035339,123.150236
30.76662712,123.1477568
30.78290085,123.1452474
30.79917458,123.1427081
30.81544831,123.1401392
30.83172203,123.1375411
30.84799576,123.1349141
30.86426949,123.1322584
30.88054322,123.1295744
30.89681695,123.1268624
30.91309068,123.1241228
30.92936441,123.1213557
30.94563814,123.1185617
30.96191186,123.1157408
30.97818559,123.1128935
30.99445932,123.1100201
31.01073305,123.1071209
31.02700678,123.1041961
31.04328051,123.1012461
31.05955424,123.0982711
31.07582797,123.0952714
31.09210169,123.0922473
31.10837542,123.0891991
31.12464915,123.086127
31.14092288,123.0830312
31.15719661,123.079912
31.17347034,123.0767696
31.18974407,123.0736042
31.2060178,123.0704161
31.22229153,123.0672054
31.23856525,123.0639723
31.25483898,123.060717
31.27111271,123.0574396
31.28738644,123.0541404
31.30366017,123.0508193
31.3199339,123.0474766
31.33620763,123.0441123
31.35248136,123.0407265
31.36875508,123.0373193
31.38502881,123.0338908
31.40130254,123.030441
31.41757627,123.0269698
31.43385,123.0234774
31.45012373,123.0199636
31.46639746,123.0164286
31.48267119,123.0128721
31.49894492,123.0092942
31.51521864,123.0056948
31.53149237,123.0020738
31.5477661,122.9984309
31.56403983,122.9947662
