WD,JD,new
25.5407,121.4931314,"121.4931314,25.5407"
25.5494713,121.51914009999999,"121.51914009999999,25.5494713"
25.5582426,121.54194469999999,"121.54194469999999,25.5582426"
25.5670139,121.5617135,"121.5617135,25.5670139"
25.5757852,121.57861170000001,"121.57861170000001,25.5757852"
25.5845565,121.5928014,"121.5928014,25.5845565"
25.5933278,121.6044416,"121.6044416,25.5933278"
25.6020991,121.61368780000001,"121.61368780000001,25.6020991"
25.6108704,121.6206919,"121.6206919,25.6108704"
25.61964169,121.62560259999998,"121.62560259999998,25.61964169"
25.62841299,121.62856459999999,"121.62856459999999,25.62841299"
25.63718429,121.6297187,"121.6297187,25.63718429"
25.64595559,121.6292023,"121.6292023,25.64595559"
25.65472689,121.62714840000001,"121.62714840000001,25.65472689"
25.66349819,121.6236862,"121.6236862,25.66349819"
25.67226949,121.61894070000001,"121.61894070000001,25.67226949"
25.68104079,121.61303290000001,"121.61303290000001,25.68104079"
25.68981209,121.60607949999999,"121.60607949999999,25.68981209"
25.69858339,121.598193,"121.598193,25.69858339"
25.70735469,121.5894818,"121.5894818,25.70735469"
25.71612599,121.5800499,"121.5800499,25.71612599"
25.72489729,121.56999679999998,"121.56999679999998,25.72489729"
25.73366859,121.55941809999999,"121.55941809999999,25.73366859"
25.74243989,121.5484048,"121.5484048,25.74243989"
25.75121119,121.5370437,"121.5370437,25.75121119"
25.75998249,121.5254172,"121.5254172,25.75998249"
25.76875379,121.5136037,"121.5136037,25.76875379"
25.77752508,121.501677,"121.501677,25.77752508"
25.78629638,121.48970690000002,"121.48970690000002,25.78629638"
25.79506768,121.477759,"121.477759,25.79506768"
25.80383898,121.4658946,"121.4658946,25.80383898"
25.81261028,121.4541711,"121.4541711,25.81261028"
25.82138158,121.4426418,"121.4426418,25.82138158"
25.83015288,121.43135579999999,"121.43135579999999,25.83015288"
25.83892418,121.42035870000001,"121.42035870000001,25.83892418"
25.84769548,121.40969199999999,"121.40969199999999,25.84769548"
25.85646678,121.3993933,"121.3993933,25.85646678"
25.86523808,121.38949679999999,"121.38949679999999,25.86523808"
25.87400938,121.38003300000001,"121.38003300000001,25.87400938"
25.88278068,121.37102859999999,"121.37102859999999,25.88278068"
25.89155198,121.36250729999999,"121.36250729999999,25.89155198"
25.90032328,121.3544892,"121.3544892,25.90032328"
25.90909458,121.3469913,"121.3469913,25.90909458"
25.91786588,121.34002720000001,"121.34002720000001,25.91786588"
25.92663718,121.3336078,"121.3336078,25.92663718"
25.93540847,121.3277409,"121.3277409,25.93540847"
25.94417977,121.3224315,"121.3224315,25.94417977"
25.95295107,121.31768190000001,"121.31768190000001,25.95295107"
25.96172237,121.31349180000001,"121.31349180000001,25.96172237"
25.97049367,121.30985859999998,"121.30985859999998,25.97049367"
25.97926497,121.30677709999999,"121.30677709999999,25.97926497"
25.98803627,121.3042399,"121.3042399,25.98803627"
25.99680757,121.3022376,"121.3022376,25.99680757"
26.00557887,121.3007588,"121.3007588,26.00557887"
26.01435017,121.29979009999998,"121.29979009999998,26.01435017"
26.02312147,121.29931640000001,"121.29931640000001,26.02312147"
26.03189277,121.29932109999999,"121.29932109999999,26.03189277"
26.04066407,121.29978590000002,"121.29978590000002,26.04066407"
26.04943537,121.30069109999998,"121.30069109999998,26.04943537"
26.05820667,121.30201609999999,"121.30201609999999,26.05820667"
26.06697797,121.3037385,"121.3037385,26.06697797"
26.07574927,121.3058355,"121.3058355,26.07574927"
26.08452056,121.3082831,"121.3082831,26.08452056"
26.09329186,121.3110564,"121.3110564,26.09329186"
26.10206316,121.31413,"121.31413,26.10206316"
26.11083446,121.31747790000001,"121.31747790000001,26.11083446"
26.11960576,121.3210736,"121.3210736,26.11960576"
26.12837706,121.3248902,"121.3248902,26.12837706"
26.13714836,121.32890069999999,"121.32890069999999,26.13714836"
26.14591966,121.3330779,"121.3330779,26.14591966"
26.15469096,121.33739440000001,"121.33739440000001,26.15469096"
26.16346226,121.341823,"121.341823,26.16346226"
26.17223356,121.3463368,"121.3463368,26.17223356"
26.18100486,121.3509088,"121.3509088,26.18100486"
26.18977616,121.3555127,"121.3555127,26.18977616"
26.19854746,121.3601223,"121.3601223,26.19854746"
26.20731876,121.3647122,"121.3647122,26.20731876"
26.21609006,121.36925729999999,"121.36925729999999,26.21609006"
26.22486136,121.3737335,"121.3737335,26.22486136"
26.23363266,121.37811699999999,"121.37811699999999,26.23363266"
26.24240395,121.3823852,"121.3823852,26.24240395"
26.25117525,121.38651609999998,"121.38651609999998,26.25117525"
26.25994655,121.3904888,"121.3904888,26.25994655"
26.26871785,121.39428329999998,"121.39428329999998,26.26871785"
26.27748915,121.3978806,"121.3978806,26.27748915"
26.28626045,121.40126289999999,"121.40126289999999,26.28626045"
26.29503175,121.40441329999999,"121.40441329999999,26.29503175"
26.30380305,121.40731640000001,"121.40731640000001,26.30380305"
26.31257435,121.40995790000001,"121.40995790000001,26.31257435"
26.32134565,121.41232439999999,"121.41232439999999,26.32134565"
26.33011695,121.4144043,"121.4144043,26.33011695"
26.33888825,121.4161869,"121.4161869,26.33888825"
26.34765955,121.41766299999999,"121.41766299999999,26.34765955"
26.35643085,121.4188248,"121.4188248,26.35643085"
26.36520215,121.41966550000001,"121.41966550000001,26.36520215"
26.37397345,121.42018,"121.42018,26.37397345"
26.38274475,121.4203645,"121.4203645,26.38274475"
26.39151605,121.42021650000001,"121.42021650000001,26.39151605"
26.40028734,121.4197347,"121.4197347,26.40028734"
26.40905864,121.41891940000001,"121.41891940000001,26.40905864"
26.41782994,121.4177722,"121.4177722,26.41782994"
26.42660124,121.41629590000001,"121.41629590000001,26.42660124"
26.43537254,121.41449479999999,"121.41449479999999,26.43537254"
26.44414384,121.4123742,"121.4123742,26.44414384"
26.45291514,121.40994099999999,"121.40994099999999,26.45291514"
26.46168644,121.40720309999999,"121.40720309999999,26.46168644"
26.47045774,121.4041697,"121.4041697,26.47045774"
26.47922904,121.4008513,"121.4008513,26.47922904"
26.48800034,121.39725929999999,"121.39725929999999,26.48800034"
26.49677164,121.3934064,"121.3934064,26.49677164"
26.50554294,121.3893063,"121.3893063,26.50554294"
26.51431424,121.38497379999998,"121.38497379999998,26.51431424"
26.52308554,121.3804244,"121.3804244,26.52308554"
26.53185684,121.375675,"121.375675,26.53185684"
26.54062814,121.37074299999999,"121.37074299999999,26.54062814"
26.54939944,121.3656468,"121.3656468,26.54939944"
26.55817073,121.3604055,"121.3604055,26.55817073"
26.56694203,121.35503909999998,"121.35503909999998,26.56694203"
26.57571333,121.34956809999998,"121.34956809999998,26.57571333"
26.58448463,121.3440136,"121.3440136,26.58448463"
26.59325593,121.33839750000001,"121.33839750000001,26.59325593"
26.60202723,121.3327419,"121.3327419,26.60202723"
26.61079853,121.32706950000001,"121.32706950000001,26.61079853"
26.61956983,121.32140349999999,"121.32140349999999,26.61956983"
26.62834113,121.315767,"121.315767,26.62834113"
26.63711243,121.31018390000001,"121.31018390000001,26.63711243"
26.64588373,121.30467800000001,"121.30467800000001,26.64588373"
26.65465503,121.2992732,"121.2992732,26.65465503"
26.66342633,121.2939935,"121.2939935,26.66342633"
26.67219763,121.2888632,"121.2888632,26.67219763"
26.68096893,121.2839061,"121.2839061,26.68096893"
26.68974023,121.2791462,"121.2791462,26.68974023"
26.69851153,121.27460729999999,"121.27460729999999,26.69851153"
26.70728282,121.2703129,"121.2703129,26.70728282"
26.71605412,121.2662862,"121.2662862,26.71605412"
26.72482542,121.2625502,"121.2625502,26.72482542"
26.73359672,121.2591273,"121.2591273,26.73359672"
26.74236802,121.2560396,"121.2560396,26.74236802"
26.75113932,121.2533087,"121.2533087,26.75113932"
26.75991062,121.25095559999998,"121.25095559999998,26.75991062"
