WD,JD,new
26.6331,124.63291670000001,"124.63291670000001,26.6331"
26.64937373,124.62727720000001,"124.62727720000001,26.64937373"
26.66564746,124.6210433,"124.6210433,26.66564746"
26.68192119,124.6142393,"124.6142393,26.68192119"
26.69819492,124.60688870000001,"124.60688870000001,26.69819492"
26.71446864,124.59901470000001,"124.59901470000001,26.71446864"
26.73074237,124.59064009999999,"124.59064009999999,26.73074237"
26.747016100000003,124.5817868,"124.5817868,26.747016100000003"
26.76328983,124.57247659999999,"124.57247659999999,26.76328983"
26.77956356,124.56273049999999,"124.56273049999999,26.77956356"
26.79583729,124.55256920000001,"124.55256920000001,26.79583729"
26.81211102,124.54201289999999,"124.54201289999999,26.81211102"
26.82838475,124.53108119999999,"124.53108119999999,26.82838475"
26.84465847,124.51979329999999,"124.51979329999999,26.84465847"
26.860932199999997,124.50816809999999,"124.50816809999999,26.860932199999997"
26.87720593,124.4962239,"124.4962239,26.87720593"
26.89347966,124.4839784,"124.4839784,26.89347966"
26.90975339,124.47144920000001,"124.47144920000001,26.90975339"
26.92602712,124.45865309999999,"124.45865309999999,26.92602712"
26.94230085,124.4456068,"124.4456068,26.94230085"
26.95857458,124.43232649999999,"124.43232649999999,26.95857458"
26.97484831,124.41882779999999,"124.41882779999999,26.97484831"
26.99112203,124.405126,"124.405126,26.99112203"
27.00739576,124.3912361,"124.3912361,27.00739576"
27.02366949,124.37717250000001,"124.37717250000001,27.02366949"
27.03994322,124.36294950000001,"124.36294950000001,27.03994322"
27.05621695,124.3485807,"124.3485807,27.05621695"
27.07249068,124.33407959999998,"124.33407959999998,27.07249068"
27.08876441,124.3194591,"124.3194591,27.08876441"
27.10503814,124.30473190000001,"124.30473190000001,27.10503814"
27.12131186,124.2899102,"124.2899102,27.12131186"
27.13758559,124.27500590000001,"124.27500590000001,27.13758559"
27.15385932,124.2600306,"124.2600306,27.15385932"
27.17013305,124.2449956,"124.2449956,27.17013305"
27.18640678,124.2299117,"124.2299117,27.18640678"
27.20268051,124.2147895,"124.2147895,27.20268051"
27.21895424,124.1996392,"124.1996392,27.21895424"
27.23522797,124.18447079999999,"124.18447079999999,27.23522797"
27.25150169,124.1692937,"124.1692937,27.25150169"
27.26777542,124.15411740000002,"124.15411740000002,27.26777542"
27.28404915,124.13895079999999,"124.13895079999999,27.28404915"
27.30032288,124.1238025,"124.1238025,27.30032288"
27.31659661,124.108681,"124.108681,27.31659661"
27.33287034,124.09359440000001,"124.09359440000001,27.33287034"
27.34914407,124.07855049999999,"124.07855049999999,27.34914407"
27.365417800000003,124.0635568,"124.0635568,27.365417800000003"
27.38169153,124.0486206,"124.0486206,27.38169153"
27.39796525,124.03374879999998,"124.03374879999998,27.39796525"
27.41423898,124.0189483,"124.0189483,27.41423898"
27.43051271,124.00422549999999,"124.00422549999999,27.43051271"
27.44678644,123.9895866,"123.9895866,27.44678644"
27.46306017,123.9750376,"123.9750376,27.46306017"
27.479333899999997,123.9605843,"123.9605843,27.479333899999997"
27.49560763,123.94623200000001,"123.94623200000001,27.49560763"
27.51188136,123.9319861,"123.9319861,27.51188136"
27.52815508,123.91785159999998,"123.91785159999998,27.52815508"
27.54442881,123.9038332,"123.9038332,27.54442881"
27.56070254,123.88993559999999,"123.88993559999999,27.56070254"
27.57697627,123.8761632,"123.8761632,27.57697627"
27.59325,123.86251999999999,"123.86251999999999,27.59325"
27.60952373,123.8490101,"123.8490101,27.60952373"
27.62579746,123.835637,"123.835637,27.62579746"
27.64207119,123.82240449999999,"123.82240449999999,27.64207119"
27.65834492,123.80931580000001,"123.80931580000001,27.65834492"
27.67461864,123.796374,"123.796374,27.67461864"
27.69089237,123.7835822,"123.7835822,27.69089237"
27.707166100000002,123.7709432,"123.7709432,27.707166100000002"
27.72343983,123.7584594,"123.7584594,27.72343983"
27.73971356,123.7461334,"123.7461334,27.73971356"
27.75598729,123.73396740000001,"123.73396740000001,27.75598729"
27.77226102,123.7219634,"123.7219634,27.77226102"
27.78853475,123.71012350000001,"123.71012350000001,27.78853475"
27.80480847,123.6984494,"123.6984494,27.80480847"
27.8210822,123.68694270000002,"123.68694270000002,27.8210822"
27.83735593,123.6756048,"123.6756048,27.83735593"
27.85362966,123.6644371,"123.6644371,27.85362966"
27.86990339,123.65344070000002,"123.65344070000002,27.86990339"
27.88617712,123.6426166,"123.6426166,27.88617712"
27.90245085,123.6319658,"123.6319658,27.90245085"
27.91872458,123.621489,"123.621489,27.91872458"
27.93499831,123.6111868,"123.6111868,27.93499831"
27.95127203,123.60105970000001,"123.60105970000001,27.95127203"
27.96754576,123.5911081,"123.5911081,27.96754576"
27.98381949,123.58133229999999,"123.58133229999999,27.98381949"
28.00009322,123.57173229999998,"123.57173229999998,28.00009322"
28.01636695,123.56230819999999,"123.56230819999999,28.01636695"
28.03264068,123.5530598,"123.5530598,28.03264068"
28.04891441,123.54398710000001,"123.54398710000001,28.04891441"
28.06518814,123.53508970000001,"123.53508970000001,28.06518814"
28.08146186,123.5263672,"123.5263672,28.08146186"
28.09773559,123.51781909999998,"123.51781909999998,28.09773559"
28.11400932,123.50944469999999,"123.50944469999999,28.11400932"
28.13028305,123.5012435,"123.5012435,28.13028305"
28.14655678,123.4932146,"123.4932146,28.14655678"
28.16283051,123.4853572,"123.4853572,28.16283051"
28.17910424,123.4776703,"123.4776703,28.17910424"
28.19537797,123.4701528,"123.4701528,28.19537797"
28.21165169,123.46280379999999,"123.46280379999999,28.21165169"
28.22792542,123.4556219,"123.4556219,28.22792542"
28.24419915,123.44860590000002,"123.44860590000002,28.24419915"
28.26047288,123.44175459999998,"123.44175459999998,28.26047288"
28.27674661,123.4350665,"123.4350665,28.27674661"
28.29302034,123.42854009999998,"123.42854009999998,28.29302034"
28.30929407,123.422174,"123.422174,28.30929407"
28.3255678,123.41596650000001,"123.41596650000001,28.3255678"
28.34184153,123.409916,"123.409916,28.34184153"
28.35811525,123.4040209,"123.4040209,28.35811525"
28.37438898,123.39827930000001,"123.39827930000001,28.37438898"
28.39066271,123.3926895,"123.3926895,28.39066271"
28.40693644,123.3872496,"123.3872496,28.40693644"
28.42321017,123.3819577,"123.3819577,28.42321017"
28.4394839,123.37681200000002,"123.37681200000002,28.4394839"
28.45575763,123.3718104,"123.3718104,28.45575763"
28.47203136,123.3669508,"123.3669508,28.47203136"
28.48830508,123.3622314,"123.3622314,28.48830508"
28.50457881,123.35764990000001,"123.35764990000001,28.50457881"
28.52085254,123.35320420000001,"123.35320420000001,28.52085254"
28.53712627,123.34889220000001,"123.34889220000001,28.53712627"
28.5534,123.3447118,"123.3447118,28.5534"
28.56967373,123.34066059999999,"123.34066059999999,28.56967373"
28.58594746,123.3367365,"123.3367365,28.58594746"
28.60222119,123.3329372,"123.3329372,28.60222119"
28.61849492,123.3292605,"123.3292605,28.61849492"
28.63476864,123.32570390000001,"123.32570390000001,28.63476864"
28.65104237,123.3222653,"123.3222653,28.65104237"
28.6673161,123.3189422,"123.3189422,28.6673161"
28.68358983,123.3157324,"123.3157324,28.68358983"
28.69986356,123.31263349999999,"123.31263349999999,28.69986356"
28.71613729,123.309643,"123.309643,28.71613729"
28.73241102,123.3067586,"123.3067586,28.73241102"
28.74868475,123.303978,"123.303978,28.74868475"
28.76495847,123.30129869999999,"123.30129869999999,28.76495847"
28.781232199999998,123.29871829999999,"123.29871829999999,28.781232199999998"
28.79750593,123.2962344,"123.2962344,28.79750593"
28.81377966,123.2938446,"123.2938446,28.81377966"
28.83005339,123.29154650000001,"123.29154650000001,28.83005339"
28.84632712,123.2893377,"123.2893377,28.84632712"
28.86260085,123.2872158,"123.2872158,28.86260085"
28.87887458,123.2851783,"123.2851783,28.87887458"
28.89514831,123.2832229,"123.2832229,28.89514831"
28.91142203,123.28134720000001,"123.28134720000001,28.91142203"
28.92769576,123.27954879999999,"123.27954879999999,28.92769576"
28.94396949,123.27782520000001,"123.27782520000001,28.94396949"
28.96024322,123.27617430000001,"123.27617430000001,28.96024322"
28.97651695,123.27459350000001,"123.27459350000001,28.97651695"
28.99279068,123.27308049999999,"123.27308049999999,28.99279068"
29.00906441,123.27163300000001,"123.27163300000001,29.00906441"
29.02533814,123.2702486,"123.2702486,29.02533814"
29.04161186,123.26892520000001,"123.26892520000001,29.04161186"
29.05788559,123.26766029999999,"123.26766029999999,29.05788559"
29.07415932,123.26645159999998,"123.26645159999998,29.07415932"
29.09043305,123.265297,"123.265297,29.09043305"
29.10670678,123.2641942,"123.2641942,29.10670678"
29.12298051,123.26314099999999,"123.26314099999999,29.12298051"
29.13925424,123.26213510000001,"123.26213510000001,29.13925424"
29.15552797,123.2611744,"123.2611744,29.15552797"
29.17180169,123.26025659999999,"123.26025659999999,29.17180169"
29.18807542,123.25937979999999,"123.25937979999999,29.18807542"
29.20434915,123.25854170000001,"123.25854170000001,29.20434915"
29.22062288,123.2577403,"123.2577403,29.22062288"
29.23689661,123.25697350000002,"123.25697350000002,29.23689661"
29.25317034,123.25623929999999,"123.25623929999999,29.25317034"
29.26944407,123.2555355,"123.2555355,29.26944407"
29.2857178,123.2548604,"123.2548604,29.2857178"
29.30199153,123.25421180000001,"123.25421180000001,29.30199153"
29.31826525,123.2535878,"123.2535878,29.31826525"
29.33453898,123.25298659999999,"123.25298659999999,29.33453898"
29.35081271,123.2524062,"123.2524062,29.35081271"
29.36708644,123.25184479999999,"123.25184479999999,29.36708644"
29.38336017,123.25130060000001,"123.25130060000001,29.38336017"
29.399633899999998,123.25077179999998,"123.25077179999998,29.399633899999998"
29.41590763,123.25025659999999,"123.25025659999999,29.41590763"
29.43218136,123.24975330000001,"123.24975330000001,29.43218136"
29.44845508,123.2492601,"123.2492601,29.44845508"
29.46472881,123.2487755,"123.2487755,29.46472881"
29.48100254,123.2482977,"123.2482977,29.48100254"
29.49727627,123.2478251,"123.2478251,29.49727627"
29.51355,123.2473563,"123.2473563,29.51355"
29.52982373,123.24688950000001,"123.24688950000001,29.52982373"
29.54609746,123.24642340000001,"123.24642340000001,29.54609746"
29.56237119,123.2459564,"123.2459564,29.56237119"
29.57864492,123.2454872,"123.2454872,29.57864492"
29.59491864,123.24501409999998,"123.24501409999998,29.59491864"
29.61119237,123.24453600000001,"123.24453600000001,29.61119237"
29.627466100000003,123.2440514,"123.2440514,29.627466100000003"
29.64373983,123.2435591,"123.2435591,29.64373983"
29.66001356,123.24305759999999,"123.24305759999999,29.66001356"
29.67628729,123.2425459,"123.2425459,29.67628729"
29.69256102,123.2420226,"123.2420226,29.69256102"
29.70883475,123.24148670000001,"123.24148670000001,29.70883475"
29.72510847,123.2409369,"123.2409369,29.72510847"
29.7413822,123.24037209999999,"123.24037209999999,29.7413822"
29.75765593,123.2397912,"123.2397912,29.75765593"
29.77392966,123.2391933,"123.2391933,29.77392966"
29.79020339,123.23857720000001,"123.23857720000001,29.79020339"
29.80647712,123.23794199999999,"123.23794199999999,29.80647712"
29.82275085,123.23728670000001,"123.23728670000001,29.82275085"
29.83902458,123.2366105,"123.2366105,29.83902458"
29.85529831,123.2359124,"123.2359124,29.85529831"
29.87157203,123.2351916,"123.2351916,29.87157203"
29.88784576,123.2344472,"123.2344472,29.88784576"
29.90411949,123.2336785,"123.2336785,29.90411949"
29.92039322,123.2328847,"123.2328847,29.92039322"
29.93666695,123.2320652,"123.2320652,29.93666695"
29.95294068,123.23121909999999,"123.23121909999999,29.95294068"
29.96921441,123.23034579999998,"123.23034579999998,29.96921441"
29.98548814,123.22944469999999,"123.22944469999999,29.98548814"
30.00176186,123.2285152,"123.2285152,30.00176186"
30.01803559,123.2275568,"123.2275568,30.01803559"
30.03430932,123.22656880000001,"123.22656880000001,30.03430932"
30.05058305,123.2255508,"123.2255508,30.05058305"
30.06685678,123.22450220000002,"123.22450220000002,30.06685678"
30.08313051,123.2234227,"123.2234227,30.08313051"
30.09940424,123.2223118,"123.2223118,30.09940424"
30.11567797,123.22116909999998,"123.22116909999998,30.11567797"
30.13195169,123.2199942,"123.2199942,30.13195169"
30.14822542,123.2187868,"123.2187868,30.14822542"
30.16449915,123.2175466,"123.2175466,30.16449915"
30.18077288,123.2162732,"123.2162732,30.18077288"
30.19704661,123.2149665,"123.2149665,30.19704661"
30.21332034,123.2136261,"123.2136261,30.21332034"
30.22959407,123.21225190000001,"123.21225190000001,30.22959407"
30.245867800000003,123.2108437,"123.2108437,30.245867800000003"
30.26214153,123.20940130000001,"123.20940130000001,30.26214153"
30.27841525,123.2079245,"123.2079245,30.27841525"
30.29468898,123.2064133,"123.2064133,30.29468898"
30.31096271,123.2048675,"123.2048675,30.31096271"
30.32723644,123.20328710000001,"123.20328710000001,30.32723644"
30.34351017,123.201672,"123.201672,30.34351017"
30.359783899999996,123.20002209999998,"123.20002209999998,30.359783899999996"
30.37605763,123.19833759999999,"123.19833759999999,30.37605763"
30.39233136,123.1966183,"123.1966183,30.39233136"
30.40860508,123.19486440000001,"123.19486440000001,30.40860508"
