,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
88721,88721,R2019081303584228201177,32.3665,126.9188,4949.7997,651.2722,2012/2/1 10:15:41,F-2
88765,88765,R2019081303584228201177,32.1358,126.0426,5036.5667,670.0709,2012/2/1 10:23:21,F-2
88881,88881,R2019081303584228201177,31.4881,123.7735,5291.346,672.9254,2012/2/1 10:43:31,F-2
88988,88988,R2019081303584228201177,30.5017,124.8383,4863.2303,743.0498,2012/2/1 11:02:51,F-2
89101,89101,R2019081303584228201177,31.8029,124.2267,4902.9719,666.1354,2012/2/1 11:23:01,F-2
89310,89310,R2019081303584228201177,28.9484,124.348,4636.2254,653.9976,2012/2/1 12:02:01,F-2
89387,89387,R2019081303584228201177,28.5197,125.856,5116.3335,724.365,2012/2/1 12:15:41,F-2
89397,89397,R2019081303584228201177,28.4997,126.0673,5395.1194,652.7432,2012/2/1 12:17:31,F-2
89427,89427,R2019081303584228201177,28.5272,126.7142,5453.5234,739.8698,2012/2/1 12:22:51,F-2
89468,89468,R2019081303584229801872,32.5053,127.8818,4711.1575,733.5542,2012/2/9 10:01:21,F-2
89492,89492,R2019081303584229801872,32.4106,127.4015,5350.6398,662.2856,2012/2/9 10:05:31,F-2
89590,89590,R2019081303584229801872,31.9062,125.3657,4658.9591,672.2346,2012/2/9 10:22:41,F-2
89650,89650,R2019081303584229801872,31.8043,124.189,4649.166,742.6152,2012/2/9 10:33:01,F-2
89670,89670,R2019081303584229801872,31.635,123.913,5073.4256,706.2624,2012/2/9 10:36:31,F-2
89681,89681,R2019081303584229801872,31.4992,123.7722,5121.2068,723.0784,2012/2/9 10:38:31,F-2
89685,89685,R2019081303584229801872,31.3899,123.7044,5180.5484,701.7551,2012/2/9 10:39:21,F-2
89714,89714,R2019081303584229801872,30.8909,123.5905,5328.5106,738.5623,2012/2/9 10:44:31,F-2
89783,89783,R2019081303584229801872,30.4576,124.7403,5373.3824,707.8929,2012/2/9 10:57:01,F-2
89959,89959,R2019081303584229801872,31.3342,123.3908,5123.2887,696.1974,2012/2/9 11:29:31,F-2
90026,90026,R2019081303584229801872,30.2481,123.3169,4589.0937,700.8666,2012/2/9 11:41:51,F-2
90034,90034,R2019081303584229801872,30.0663,123.3034,4834.0451,741.2135,2012/2/9 11:43:11,F-2
90205,90205,R2019081303584229801872,28.501,125.9373,5007.8742,732.3483,2012/2/9 12:13:51,F-2
90228,90228,R2019081303584229801872,28.4926,126.4264,4748.5686,702.2735,2012/2/9 12:18:01,F-2
