日期,时间,纬度,经度,航向,节,时速,高度,爬升率,数据源
20190801,星期四 20:42:4908:42下午,26.065926.07,-80.1486-80.15,→ 91°,124,230,, , FlightAware ADS-B  (KPMP) 
20190801,星期四 20:43:0508:43下午,26.065826.07,-80.1364-80.14,→ 90°,160,296,5353,557 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:43:2108:43下午,26.066626.07,-80.1229-80.12,→ 76°,160,296,290290,771 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:43:3708:43下午,26.070226.07,-80.1099-80.11,→ 72°,174,322,465465,500 , FlightAware ADS-B  (KPMP) 
20190801,星期四 20:43:5308:43下午,26.074526.07,-80.0961-80.10,→ 71°,194,359,556556,386 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:44:0908:44下午,26.079426.08,-80.0812-80.08,&nearr 61°,209,388,671671,457 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:44:2508:44下午,26.091626.09,-80.0682-80.07,&nearr 28°,236,438,800800,557 , FlightAware ADS-B  (KFXE) 
20190801,星期四 20:44:4108:44下午,26.110326.11,-80.0636-80.06,↑ 358°,261,483,968968,754 , FlightAware ADS-B  (KOPF) 
20190801,星期四 20:45:0208:45下午,26.136426.14,-80.0670-80.07,↑ 348°,275,509,"1,2651265",715 , FlightAware ADS-B  (KFLL) 
20190801,星期四 20:45:2008:45下午,26.159326.16,-80.0778-80.08,&nwarr 333°,289,536,"1,4331433",351 , FlightAware ADS-B  (KTMB) 
20190801,星期四 20:45:4508:45下午,26.188526.19,-80.0904-80.09,↑ 340°,285,528,"1,5161516",96 , FlightAware ADS-B  (KFLL) 
20190801,星期四 20:46:0308:46下午,26.210326.21,-80.0992-80.10,↑ 341°,285,528,"1,5011501",-25 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:46:2208:46下午,26.236426.24,-80.1099-80.11,&nwarr 336°,286,529,"1,5011501",65 , FlightAware ADS-B  (FPO / MYGF) 
20190801,星期四 20:46:3808:46下午,26.252126.25,-80.1220-80.12,← 313°,302,560,"1,5391539",672 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:46:5608:46下午,26.264926.26,-80.1472-80.15,← 287°,298,552,"1,8821882","1,067 ", FlightAware ADS-B  (KHST) 
20190801,星期四 20:47:2608:47下午,26.269426.27,-80.1930-80.19,← 276°,296,549,"2,3932393",899 , FlightAware ADS-B  (KTMB) 
20190801,星期四 20:47:5608:47下午,26.273626.27,-80.2399-80.24,← 275°,305,565,"2,7812781",632 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:48:2608:48下午,26.277226.28,-80.2892-80.29,← 274°,333,616,"3,0253025",244 , FlightAware ADS-B  (KBCT) 
20190801,星期四 20:48:5608:48下午,26.280326.28,-80.3385-80.34,← 274°,361,668,"3,0253025",8 , FlightAware ADS-B  (KPGD) 
20190801,星期四 20:49:2608:49下午,26.283826.28,-80.3984-80.40,← 274°,363,673,"3,0333033",282 , FlightAware ADS-B  (KBCT) 
20190801,星期四 20:49:5608:49下午,26.286926.29,-80.4531-80.45,← 274°,367,679,"3,3073307",602 , FlightAware ADS-B  (KTMB) 
20190801,星期四 20:50:2608:50下午,26.290226.29,-80.5105-80.51,← 274°,375,695,"3,6353635",716 , FlightAware ADS-B  (KPBI) 
20190801,星期四 20:50:4208:50下午,26.292426.29,-80.5402-80.54,← 279°,375,695,"3,8563856",718 , FlightAware ADS-B  (KRSW) 
20190801,星期四 20:51:0108:51下午,26.304426.30,-80.5761-80.58,← 301°,382,708,"4,0544054",619 , FlightAware ADS-B  (KOPF) 
20190801,星期四 20:51:4408:51下午,26.352126.35,-80.6457-80.65,← 308°,393,727,"4,4964496",614 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:52:1408:52下午,26.383926.38,-80.6916-80.69,← 307°,395,732,"4,8014801",569 , FlightAware ADS-B  (KXMR) 
20190801,星期四 20:52:3308:52下午,26.405826.41,-80.7218-80.72,← 314°,399,739,"4,9614961",516 , FlightAware ADS-B  (KBOW) 
20190801,星期四 20:53:1608:53下午,26.475026.48,-80.7699-80.77,&nwarr 331°,402,745,"5,3345334",513 , FlightAware ADS-B  (KCOF) 
20190801,星期四 20:53:4708:53下午,26.524926.52,-80.8010-80.80,&nwarr 331°,408,756,"5,5935593",465 , FlightAware ADS-B  (KPBI) 
20190801,星期四 20:54:1708:54下午,26.575726.58,-80.8332-80.83,&nwarr 330°,418,774,"5,8065806",482 , FlightAware ADS-B  (KFMY) 
20190801,星期四 20:54:4108:54下午,26.614326.61,-80.8580-80.86,&nwarr 326°,420,777,"6,0276027",457 , FlightAware ADS-B  (KCOF) 
20190801,星期四 20:54:5708:54下午,26.638726.64,-80.8814-80.88,← 311°,425,787,"6,1116111",390 , FlightAware ADS-B  (KOPF) 
20190801,星期四 20:55:2908:55下午,26.677826.68,-80.9373-80.94,← 309°,429,795,"6,3406340",501 , FlightAware ADS-B  (KISM) 
20190801,星期四 20:55:5908:55下午,26.715326.72,-80.9905-80.99,← 308°,429,795,"6,6296629",617 , FlightAware ADS-B  (KPBI) 
20190801,星期四 20:56:2908:56下午,26.750226.75,-81.0397-81.04,← 308°,422,782,"6,9576957",472 , FlightAware ADS-B  (KSPG) 
20190801,星期四 20:56:5908:56下午,26.786926.79,-81.0918-81.09,← 308°,430,797,"7,1027102",358 , FlightAware ADS-B  (KCLW) 
20190801,星期四 20:57:2908:57下午,26.824426.82,-81.1449-81.14,← 308°,432,800,"7,3157315",312 , FlightAware ADS-B  (KCLW) 
20190801,星期四 20:57:5908:57下午,26.863126.86,-81.1999-81.20,← 308°,444,822,"7,4147414",245 , FlightAware ADS-B  (KHWO) 
20190801,星期四 20:58:2508:58下午,26.895226.90,-81.2452-81.25,← 310°,448,830,"7,5447544",326 , FlightAware ADS-B  (KCOF) 
20190801,星期四 20:58:4808:58下午,26.927426.93,-81.2846-81.28,← 315°,453,838,"7,6817681",305 , FlightAware ADS-B  (KPBI) 
20190801,星期四 20:59:0708:59下午,26.959026.96,-81.3179-81.32,&nwarr 318°,458,848,"7,7577757",261 , FlightAware ADS-B  (KMLB) 
20190801,星期四 20:59:2308:59下午,26.984126.98,-81.3410-81.34,&nwarr 322°,462,856,"7,8337833",418 , FlightAware ADS-B  (KMLB) 
20190801,星期四 20:59:4208:59下午,27.016627.02,-81.3674-81.37,&nwarr 326°,460,851,"8,0018001",457 , FlightAware ADS-B  (KAPF) 
20190801,星期四 21:00:1209:00下午,27.072527.07,-81.4050-81.41,&nwarr 332°,463,858,"8,2078207",319 , FlightAware ADS-B  (KFPR) 
20190801,星期四 21:00:4809:00下午,27.142227.14,-81.4402-81.44,&nwarr 338°,470,871,"8,3528352",263 , FlightAware ADS-B  (KTPA) 
20190801,星期四 21:01:1809:01下午,27.202227.20,-81.4669-81.47,&nwarr 338°,474,877,"8,4968496",267 , FlightAware ADS-B  (KSEF) 
